Well Name,API Number,Latitude (NAD27),Longitude (NAD27),Source Title,Reported Date,Company,Category,Parameter,Value,Unit,Actual/Forecast,Period,Basin/Region,Play/Formation,Sub-Location,Parameter Detail,Data Point Description,View URL
Ranger U04H,4238936611,31.6809567,-103.6754217,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Lateral Length,"10,000",Feet,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Appaloosa area, Reeves County, Texas, Delaware Basin",Ranger U04H well,"Lateral Length of Ranger U04H well in Upper Wolfcamp A, Appaloosa area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 10,000 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273324
Ranger B102SL,4238936609,31.682458,-103.676613,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Lateral Length,"10,000",Feet,Actual,,Permian,Wolfcamp,"Upper Wolfcamp B, Appaloosa area, Reeves County, Texas, Delaware Basin",Ranger B102SL well,"Lateral Length of Ranger B102SL well in Upper Wolfcamp B, Appaloosa area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 10,000 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273326
Thunder Canyon C107SL,4238936335,31.6278,-103.821209,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Rig and Well Statistics,Drilling Days,16,,Actual,,Permian,Wolfcamp,"Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin","Thunder Canyon C107SL well, Spud to TD","Drilling Days (Spud to TD) of Thunder Canyon C107SL well in Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 16",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273327
Ranger L05H,4238936239,31.68031,-103.675307,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Rig and Well Statistics,Drilling Days,29,,Actual,,Permian,Wolfcamp,"Lower Wolfcamp A, Appaloosa area, Reeves County, Texas, Delaware Basin","Ranger L05H well, Spud to TD","Drilling Days (Spud to TD) of Ranger L05H well in Lower Wolfcamp A, Appaloosa area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 29",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273328
Ranger C205SL,4238936240,31.6800517,-103.6743848,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Rig and Well Statistics,Drilling Days,26,,Actual,,Permian,Wolfcamp,"Middle Wolfcamp C, Appaloosa area, Reeves County, Texas, Delaware Basin","Ranger C205SL well, Spud to TD","Drilling Days (Spud to TD) of Ranger C205SL well in Middle Wolfcamp C, Appaloosa area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 26",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273329
Long Yuengling L03H,4238935850,31.664597,-103.910408,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Lateral Length,"7,615",Feet,Actual,,Permian,Wolfcamp,"Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin",Long Yuengling L03H well,"Lateral Length of Long Yuengling L03H well in Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 7,615 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273330
Long Yuengling U04H,4238935849,31.664597,-103.909347,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Lateral Length,"7,724",Feet,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin",Long Yuengling U04H well,"Lateral Length of Long Yuengling U04H well in Upper Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 7,724 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273331
Uinta C101H,4238936357,31.627721,-103.819221,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Lateral Length,"7,819",Feet,Actual,,Permian,Wolfcamp,"Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin",Uinta C101H well,"Lateral Length of Uinta C101H well in Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 7,819 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273332
Long Yuengling L03H,4238935850,31.664597,-103.910408,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Frac Stages,31,,Actual,,Permian,Wolfcamp,"Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin",Long Yuengling L03H well,"Frac Stages of Long Yuengling L03H well in Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 31",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273333
Long Yuengling U04H,4238935849,31.664597,-103.909347,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Frac Stages,32,,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin",Long Yuengling U04H well,"Frac Stages of Long Yuengling U04H well in Upper Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 32",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273334
Uinta C101H,4238936357,31.627721,-103.819221,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Frac Stages,32,,Actual,,Permian,Wolfcamp,"Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin",Uinta C101H well,"Frac Stages of Uinta C101H well in Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 32",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273335
Long Yuengling L03H,4238935850,31.664597,-103.910408,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Proppant Volume,"1,800",lbs/ft,Actual,,Permian,Wolfcamp,"Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin","Long Yuengling L03H well, per foot, of 7,615 feet lateral length","Proppant per foot for Long Yuengling L03H well in Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 1,800 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273336
Long Yuengling U04H,4238935849,31.664597,-103.909347,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Proppant Volume,"1,799",lbs/ft,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin","Long Yuengling U04H well, per foot, of 7,724 feet lateral length","Proppant per foot for Long Yuengling U04H well in Upper Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 1,799 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273337
Uinta C101H,4238936357,31.627721,-103.819221,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Parameters and Economics,Proppant Volume,"1,809",lbs/ft,Actual,,Permian,Wolfcamp,"Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin","Uinta C101H well, per foot, of 7,819 feet lateral length","Proppant per foot for Uinta C101H well in Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 1,809 lbs/ft",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273338
Ace L06H,4238935843,31.626639,-103.992006,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Results,IP Rate (24 hr peak),"2,735",BOE/d,Actual,,Permian,Wolfcamp,"Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin","Ace L06H well, all","IP Rate (24 hr peak) of Ace L06H well in Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 2,735 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273339
Long Yuengling L03H,4238935850,31.664597,-103.910408,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Results,IP Rate (24 hr peak),"3,262",BOE/d,Actual,,Permian,Wolfcamp,"Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin","Long Yuengling L03H well, all","IP Rate (24 hr peak) of Long Yuengling L03H well in Lower Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 3,262 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273348
Long Yuengling U04H,4238935849,31.664597,-103.909347,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Results,IP Rate (24 hr peak),"2,559",BOE/d,Actual,,Permian,Wolfcamp,"Upper Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin","Long Yuengling U04H well, all","IP Rate (24 hr peak) of Long Yuengling U04H well in Upper Wolfcamp A, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 2,559 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273351
Uinta C101H,4238936357,31.627721,-103.819221,Resolute 2017-Q4 PPT,02-26-2018,Resolute Energy Corporation,Well Results,IP Rate (24 hr peak),"2,900",BOE/d,Actual,,Permian,Wolfcamp,"Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin","Uinta C101H well, all","IP Rate (24 hr peak) of Ace L06H well in Upper Wolfcamp C, Mustang area, Reeves County, Texas, Delaware Basin, as reported in 2018 (Feb): 2,900 BOE/d",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=273354
University Founders A25 1H,4222930276,31.925105,-105.80529,Torchlight 20 Feb 2018 PR,02-21-2018,Torchlight Energy Resources Inc,Well Parameters and Economics,Lateral Length,"1,000",Feet,Actual,,Permian,,"Orogrande Basin, Texas","University Founders A25 1H well, first horizontal well","""Torchlight Energy Resources, Inc. (NASDAQ:TRCH) (""Torchlight"" or ""the Company""), today announced that its University Founders A25 1H well has reached total depth with a 1000-foot lateral leg in the primary pay zone from a 5500-foot vertical depth.""",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269210
Flying B Ranch 3H,4243133508,31.542396,-100.99547,Torchlight 20 Feb 2018 PR,02-21-2018,Torchlight Energy Resources Inc,Well Results,IP Rate (24 hr peak),465,Bbl/d,Actual,,Permian,,"Hazel project, Midland Basin","Flying B Ranch 3H, oil","""Based on internal estimates and the one day 465 barrels high rate of oil production previously announced on the 3H well, the Company expects 10,000-foot laterals could reach 650 BOPD Initial Potential production.""",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269213
Maverick 0341WA,4222739005,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,418",Feet,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Maverick 0341WA well,"Lateral length of Maverick 0341WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,418 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269484
Maverick 0361WB,4222739009,32.343786,-101.5669787,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,412",Feet,Actual,,Permian,Wolfcamp,"Wolfcamp B, Howard County, Texas, Midland Basin",Maverick 0361WB well,"Lateral length of Maverick 0361WB well in Wolfcamp B, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,412 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269485
Maverick 0342WA,4222739006,32.344089,-101.5656667,SM Energy 2017-Q4 PPT,02-21-2018,SM Energy,Well Parameters and Economics,Lateral Length,"10,418",Feet,Actual,,Permian,Wolfcamp,"Wolfcamp A, Howard County, Texas, Midland Basin",Maverick 0342WA well,"Lateral length of Maverick 0342WA well in Wolfcamp A, Howard County, Texas, Midland Basin, as reported in 2018 (Feb): 10,418 Feet",https://derrick.quickbase.com/db/bi7nmyzuq?a=dr&key=269486
