"","x"
"156","GE Energy Financial Services"
"157","Providence Energy Operators LLC"
"158","Banner Resources LLC"
"159","KNR Resource Holdings I LP"
"160","Black Mountain Oil & Gas II LLC"
"161","Longfellow Energy LP"
"162","Callaghan 320 Trust"
"163","Slash Exploration LP"
"164","Elk Meadows Resources LLC"
"165","Grenadier Energy Partners II"
"166","Energy Hunter Resources Inc"
"167","Fulucai Productions Ltd"
"168","Gordy Oil Co"
"169","Abraxas"
"170","Mammoth Exploration LLC"
"171","Llano Energy LLC"
"172","Mongoose Energy LLC"
"173","Jetta Permian LP"
"174","Contango"
"175","Juno Energy III LLC"
"176","Rosehill Resources Inc"
"177","Ocean JV GP LLC"
"178","Crossing Rocks Energy LLC"
"179","Riverbend Permian II"
"180","Unitex Oil and Gas LLC"
"181","Element Petroleum III"
"182","Capitan Energy Corp"
"183","Basin Oil & Gas"
"184","Redhawk Resources LLC"
"185","Nautilus Energy LLC"
"186","MCM Energy Partners LLC"
"187","Rio Oil and Gas II LLC"
"188","Kerogen Energy Holdings LLC"
"189","Red Willow Production Co"
"190","Vendera Resources III LP"
"191","AVAD Energy Partners LLC"
"192","Rusk Capital Management LLC"
"193","Rock Ridge Royalty Co LLC"
"194","Bristlecone Energy Partners LLC"
"195","International Western Petroleum Corp"
"196","TRP Energy LLC"
"197","Lario Oil & Gas Co"
"198","Navigator Oil and Minerals Inc"
"199","Crump Energy Partners II LLC"
"200","Axia Energy II LLC"
"201","Epic Permian Resources"
"202","Piedra Energy III LLC"
"203","Tall City Exploration II LLC"
"204","OneEnergy Partners LLC"
"205","Rock Eagle Ranch Corp"
"206","Foreland Investments LP"
"207","Eagle Permian Partners LLC"
"208","CEP Minerals LLC"
"209","Pogo Oil & Gas LLC"
"210","Anthem Oil and Gas Inc"
"211","Chi Partners LLC"
"212","Riverbend Oil & Gas VII LLC"
"213","Penroc Oil Corp"
"214","Manti Tarka Permian LP"
"215","MECO IV LLC"
"216","UpCurve Energy"
"217","Caza Oil & Gas Inc"
"218","Titus Oil & Gas LLC"
"219","Riley Exploration Group"
"220","ROXO Energy Co LLC"
"221","Blacksands Petroleum Inc"
"222","Petroflow Energy Corp"
"223","Arabella Exploration Inc"
"224","Terra Nova Energy LP"
"225","Kimbell Royalty Group LLC"
"226","Advance Energy Partners LLC"
"227","PAK Development LLC"
"228","Hillman Exploration and Production LLC"
"229","Artifex Energy Inc"
"230","Elk River Resources LLC"
"231","Forty Acres Energy LLC"
"232","Yuma Energy Inc"
"233","Carnes Natural Gas Ltd"
"234","Sundown Energy LP"
"235","Stronghold Energy Partners LP"
"236","Manzano Energy Partners III LLC"
"237","Vickers Production Co LLC"
"238","Strand Energy LC"
"239","Wynn-Crosby"
"240","Carrera Energy LLC"
"241","Sequel Energy Group LLC"
"242","Atlantic Exchange Properties LLC"
"243","Discovery Operating Inc"
"244","PCORE Exploration & Production II LLC"
"245","Tabula Rasa Partners LLC"
"246","OIE Cochran JV LP"
"247","Ponderosa Petroleum Co Inc"
"248","7S Oil and Gas LLC"
"249","Nearburg Exploration Co LLC"
"250","Moriah Henry Partners LLC"
"251","Greystone Petroleum LLC"
"252","Development Capital Resources LP"
"253","McRae & Henry Ltd"
"254","Petrolia Energy Corp"
"255","Clear Creek E&P LLC"
"256","Foreland II LLC"
"257","Flamingo Permian Oil & Gas LLC"
"258","Elite Group LLC"
"259","Y-Knot Energy LLC"
"260","Breitling Energy Corp"
"261","Plantation V"
"262","Multi-corp International Inc"
"263","Aurora Energy Partners LLC"
"264","Olifant Energy LLC"
"265","Cholla Petroleum Inc"
"266","Opal Resources II LLC"
"267","Ares Energy Ltd"
"268","Mewbourne Oil Company"
"269","Waveland Resource Partners II LP"
"270","Macquarie Americas Corp"
"271","CXA Oil & Gas Holdings LP"
"272","Target Energy Ltd"
"273","Trilogy Operating Inc"
"274","Hanley Petroleum Inc"
"275","Capstone Natural Resources II LLC"
"276","Project Caprock"
"277","Ward I LLC"
"278","New Dawn Energy LLC"
"279","Toc Energy Resources LLC"
"280","Citation Oil & Gas Corp"
"281","Romine Oil & Gas"
"282","RCPTX Ltd"
"283","Delaware Basin Resources LLC"
"284","Hilcorp Energy Development LP"
"285","Maven Royalty Partners LLC"
"286","GoodRock Natural Resources LLC"
"287","Invictus Energy LLC"
"288","FSE Partners I LLC"
"289","GP II Energy Inc"
"290","Fasken Land and Minerals Ltd"
"291","Prime Rock Resources LLC"
"292","Lone Star Production Company"
"293","Driftwood Energy Partners LLC"
"294","White Rock Oil and Gas LLC"
"295","PrimeEnergy Corp"
"296","Fifth Natural Resources LLC"
"297","Tier 1 Resource Partners LLC"
"298","Aghorn Oil & Gas Inc"
"299","Fairmount Energy"
"300","Winchester Energy LLC"
"301","MDC Texas Energy LLC"
"302","Ozark Exploration Inc"
"303","Bro Energy LLC"
"304","SMC Oil & Gas Inc"
"305","Williams WTX LP"
"306","Castell Oil Co"
"307","Two Pak Development"
"308","KLM Petroleum Corp"
"309","FieldPoint Petroleum Corp"
"310","Corlena Oil Company III LLC"
"311","Hibernia Energy III LLC"
"312","Houston American Energy"
"313","Momentum Minerals LLC"
"314","Discovery Natural Resources LLC"
"315","Hawkins Exploration Inc"
"316","MTM Petroleum LLC"
"317","IOG Capital LP"
"318","ImPetro Resources LLC"
"319","NorthStar Operating Co"
"320","OGX Holding III LLC"
"321","Prize Fighter Oil & Gas LLC"
"322","Cosmo Energy LLC"
"323","Beacon E&P Company II"
"324","Stout Energy"
"325","SHBL Management Inc"
"326","P4 Oil & Gas LLC"
"327","Cross Timbers Energy LLC"
"328","Titan Rock Exploration & Production LLC"
"329","Burleson Petroleum Inc"
"330","Cooper Oil & Gas LLC"
"331","Hatfield Oil & Gas Properties LLC"
"332","Sabine Oil & Gas Corp"
"333","Saber Oil & Gas Ventures LLC"
"334","Bayport International Holdings Inc"
"335","HTA Minerals LLC"
"336","BTA Oil Producers LLC"
"337","La Escalera LP"
"338","Clearfork Resources LLC"
"339","Peak Exploration & Production LLC"
"340","Silver Creek Oil & Gas"
"341","ICA Energy LLC"
"342","Salt Creek Production Inc"
"343","Percussion Petroleum LLC"
"344","Canela Petro LP"
"345","PetroLegacy Energy II LLC"
